Category,SKU,Product Name,Wholesale ex GST,RRP,MOQ,Bulk/Notes,Image URL,Bundle,Units per bundle,Active
Air fresheners,AF-FORB,Forbidden Forest Air Freshener,4.99,9.99,,,,
Air fresheners,AF-BLUE,Blueberry Blast Air Freshener,4.99,9.99,,,,
Gummy mix 90g,GUM-90-STR,Strawberry 90g Gummy Mix,15.99,29.99,,,,
Gummy mix 90g,GUM-90-GRA,Grape 90g Gummy Mix,15.99,29.99,,,,
Gummy mix 90g,GUM-90-BLU,Blue Raspberry 90g Gummy Mix,15.99,29.99,,,,
Gummy mix 90g,GUM-90-DIY,Create Your Own Flavour 90g Gummy Mix,15.99,29.99,,,,
Gummy mix 90g,GUM-90-BUN,Mixed carton — 6 of each flavour (24 units),311.76,29.99,1,$12.99/unit · 24 per carton,,Y,24,Y
Wax Wizard 30ml,WW-30-BLUE,Blueberry Blast 30ml,49.99,99.99,,,,
Wax Wizard 30ml,WW-30-RAIN,Rainbow Melts 30ml,49.99,99.99,,,,
Wax Wizard 30ml,WW-30-ORAN,Orange Sherbies 30ml,49.99,99.99,,,,
Wax Wizard 30ml,WW-30-BISC,Biscotti 30ml (Limited Edition),49.99,99.99,,,,
Wax Wizard 30ml,WW-30-LIME,Summer Lime Splice 30ml (Limited),49.99,99.99,,,,
Wax Wizard 30ml,WW-30-PLAIN,Plain 30ml,49.99,99.99,,,,
Wax Wizard 10ml,WW-10-ORAN,Orange Sherbies 10ml,24.99,49.99,,,,
Wax Wizard 10ml,WW-10-BLUE,Blueberry Blast 10ml,24.99,49.99,,,,
Wax Wizard 10ml,WW-10-FORB,Forbidden Forest 10ml,24.99,49.99,,,,
Wax Wizard 10ml,WW-10-BISC,Biscotti 10ml (Limited Edition),24.99,49.99,,,,
Wax Wizard 10ml,WW-10-LIME,Summer Lime Splice 10ml (Limited),24.99,49.99,,,,
Wax Wizard 10ml,WW-10-PLAIN,Plain 10ml,24.99,49.99,,,,
Wax Wizard 100ml,WW-100-PLAIN,Plain 100ml,99.99,199.99,,,,
LST tools & grow accessories,BW,Branch Whisperers (6 per pack),8.5,19.99,,,,
LST tools & grow accessories,MT-15M,Master Ties 15M,7.5,14.99,,,,
LST tools & grow accessories,BB-20,Branch Benders (6 per pack),9.99,14.99,,,,
Curing bags,CB-1LB,1 lb Curing Bags,13,35,,,,
Chop mats / mousepads,CHOP-PURP,Purple Haze Chop Mat,12.99,24.99,,,,
Chop mats / mousepads,CHOP-RAIN,Rainbow Melts Chop Mat,12.99,24.99,,,,
Chop mats / mousepads,CHOP-FORB,Forbidden Forest Chop Mat,12.99,24.99,,,,
Chop mats / mousepads,CHOP-BLUE,Blueberry Blast Chop Mat,12.99,24.99,,,,
Chop mats / mousepads,CHOP-ORAN,Orange Sherbies Chop Mat,12.99,24.99,,,,
Merch & accessories,CUSHION,Cushion Covers,12,14.99,,,,
Merch & accessories,SNAPBACK,Black & White Embroidered Snapback,18,39.99,,,,
Merch & accessories,KEYCHAINS-TEXT,Keychains — Logo Pink Blue White & Black,3.49,9.99,5,,,
Merch & accessories,KEYCHAINS-MONO,Keychains — Monogram Pink Blue White & Black,3.49,9.99,5,,,
Merch & accessories,STICKERS,Stickers — Mono & Logo Pink Blue White & Black,0.75,2.99,5,,,
Merch & accessories,MAGNETS,Magnets — Mono & Logo Pink Blue White & Black,1.6,4.99,5,,,
Incoming / pre-order,PEND-18K-200,18K Gold Plated Pendant + Chain (Black & Pink Limited),40,89.99,,Limited 100 each colour,,
Incoming / pre-order,PEND-BUNDLE-10,Pendant bundle — 5 of each colour (10 units),350,89.99,1,$35/unit bundle,,Y,10,Y
Humidity control 62%,HP-SINGLE,2-Way Humidity Pack 62% — single,1.6,2.5,,500+ packs: $1.45 ea (auto-applied),,,
